movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,1568142
霸王别姬,2,9.6,1158426
阿甘正传,3,9.5,1220428
这个杀手不太冷,4,9.4,1412933
美丽人生,5,9.5,714562
泰坦尼克号,6,9.4,1163036
千与千寻,7,9.3,1254208
辛德勒的名单,8,9.5,633141
盗梦空间,9,9.3,1207212
忠犬八公的故事,10,9.3,809371
机器人总动员,11,9.3,800398
三傻大闹宝莱坞,12,9.2,1092296
放牛班的春天,13,9.3,760371
海上钢琴师,14,9.2,884278
楚门的世界,15,9.2,846739
星际穿越,16,9.3,868442
大话西游之大圣娶亲,17,9.2,849546
龙猫,18,9.2,749397
熔炉,19,9.3,502642
教父,20,9.3,544213
无间道,21,9.2,697602
疯狂动物城,22,9.2,981423
当幸福来敲门,23,9.1,884266
怦然心动,24,9.0,988837
触不可及,25,9.2,576925
蝙蝠侠：黑暗骑士,26,9.1,570488
乱世佳人,27,9.3,399037
活着,28,9.2,450857
控方证人,29,9.6,204325
少年派的奇幻漂流,30,9.0,864377
摔跤吧！爸爸,31,9.0,864619
指环王3：王者无敌,32,9.2,437280
天空之城,33,9.1,512848
鬼子来了,34,9.2,366015
十二怒汉,35,9.4,260410
天堂电影院,36,9.2,420265
飞屋环游记,37,9.0,785361
大话西游之月光宝盒,38,9.0,686304
哈尔的移动城堡,39,9.0,577467
罗马假日,40,9.0,583792
搏击俱乐部,41,9.0,548128
末代皇帝,42,9.2,362397
寻梦环游记,43,9.0,825917
闻香识女人,44,9.0,499477
辩护人,45,9.2,347148
素媛,46,9.2,329838
窃听风暴,47,9.1,344002
死亡诗社,48,9.0,419080
两杆大烟枪,49,9.1,373009
飞越疯人院,50,9.1,377090
指环王2：双塔奇兵,51,9.0,409028
教父2,52,9.2,295494
狮子王,53,9.0,447701
指环王1：魔戒再现,54,9.0,459172
V字仇杀队,55,8.9,642398
美丽心灵,56,9.0,448286
饮食男女,57,9.1,317048
何以为家,58,9.1,371293
海豚湾,59,9.3,248570
情书,60,8.9,550388
大闹天宫,61,9.3,194471
钢琴家,62,9.1,296695
哈利·波特与魔法石,63,8.9,476948
本杰明·巴顿奇事,64,8.9,584432
看不见的客人,65,8.8,646208
黑客帝国,66,8.9,441137
西西里的美丽传说,67,8.8,560561
小鞋子,68,9.2,221722
让子弹飞,69,8.8,949842
美国往事,70,9.2,250908
拯救大兵瑞恩,71,9.0,374887
音乐之声,72,9.0,345574
猫鼠游戏,73,8.9,412779
致命魔术,74,8.8,503653
七宗罪,75,8.8,599406
被嫌弃的松子的一生,76,8.9,451158
低俗小说,77,8.8,500755
沉默的羔羊,78,8.8,503205
蝴蝶效应,79,8.8,555098
春光乍泄,80,8.9,372524
穿条纹睡衣的男孩,81,9.0,262384
勇敢的心,82,8.9,391236
天使爱美丽,83,8.7,663902
剪刀手爱德华,84,8.7,682968
心灵捕手,85,8.8,407648
禁闭岛,86,8.8,544309
布达佩斯大饭店,87,8.8,507412
阿凡达,88,8.7,796973
入殓师,89,8.8,404530
幽灵公主,90,8.9,339567
加勒比海盗,91,8.7,525980
摩登时代,92,9.3,151676
致命ID,93,8.7,460267
断背山,94,8.7,453318
阳光灿烂的日子,95,8.8,383391
重庆森林,96,8.7,476895
第六感,97,8.8,329743
狩猎,98,9.1,199131
喜剧之王,99,8.7,521969
玛丽和马克思,100,8.9,292295
我不是药神,101,9.0,1200906
消失的爱人,102,8.7,531266
告白,103,8.7,471857
小森林 夏秋篇,104,9.0,230004
大鱼,105,8.8,351583
一一,106,9.0,212041
请以你的名字呼唤我,107,8.8,333852
阳光姐妹淘,108,8.8,382335
爱在黎明破晓前,109,8.8,331150
射雕英雄传之东成西就,110,8.7,388805
侧耳倾听,111,8.9,260208
甜蜜蜜,112,8.8,310220
红辣椒,113,9.0,214401
海蒂和爷爷,114,9.1,148918
驯龙高手,115,8.7,444267
杀人回忆,116,8.8,325045
倩女幽魂,117,8.7,405456
超脱,118,8.8,259979
7号房的礼物,119,8.8,281871
恐怖直播,120,8.8,354443
菊次郎的夏天,121,8.8,288949
哈利·波特与死亡圣器(下),122,8.7,413976
小森林 冬春篇,123,9.0,199523
爱在日落黄昏时,124,8.8,288925
风之谷,125,8.8,247998
幸福终点站,126,8.7,313840
蝙蝠侠：黑暗骑士崛起,127,8.7,420721
萤火之森,128,8.8,266634
上帝之城,129,8.9,201981
唐伯虎点秋香,130,8.6,555634
借东西的小人阿莉埃蒂,131,8.8,312564
超能陆战队,132,8.6,574255
神偷奶爸,133,8.6,580963
无人知晓,134,9.1,136513
怪兽电力公司,135,8.7,368439
电锯惊魂,136,8.7,291891
玩具总动员3,137,8.8,282862
岁月神偷,138,8.7,397749
血战钢锯岭,139,8.7,478764
谍影重重3,140,8.8,257763
疯狂原始人,141,8.7,525112
英雄本色,142,8.7,281468
喜宴,143,8.9,197374
七武士,144,9.2,110002
萤火虫之墓,145,8.7,274982
东邪西毒,146,8.6,366682
傲慢与偏见,147,8.6,435490
真爱至上,148,8.6,434043
时空恋旅人,149,8.7,307128
贫民窟的百万富翁,150,8.6,501754
黑天鹅,151,8.5,553973
记忆碎片,152,8.6,376768
心迷宫,153,8.7,277986
纵横四海,154,8.8,230049
教父3,155,8.8,194419
荒蛮故事,156,8.8,227031
完美的世界,157,9.1,125076
达拉斯买家俱乐部,158,8.7,267797
三块广告牌,159,8.7,500162
雨人,160,8.7,269685
被解救的姜戈,161,8.7,362158
花样年华,162,8.6,340873
卢旺达饭店,163,8.9,163060
你的名字。,164,8.4,770538
我是山姆,165,8.9,159675
哪吒闹海,166,9.0,132694
头脑特工队,167,8.7,344349
海边的曼彻斯特,168,8.6,298172
你看起来好像很好吃,169,8.8,204495
恋恋笔记本,170,8.5,389663
无敌破坏王,171,8.7,310789
冰川时代,172,8.5,383678
二十二,173,8.7,171856
虎口脱险,174,8.9,142386
未麻的部屋,175,8.9,149959
海洋,176,9.1,117135
模仿游戏,177,8.6,359181
爆裂鼓手,178,8.7,327732
雨中曲,179,9.0,126197
一个叫欧维的男人决定去死,180,8.8,198782
忠犬八公物语,181,9.1,98615
燃情岁月,182,8.8,186550
人工智能,183,8.6,261386
天书奇谭,184,9.2,94384
魔女宅急便,185,8.6,284086
房间,186,8.8,232304
穿越时空的少女,187,8.6,252886
黑客帝国3：矩阵革命,188,8.7,229319
恐怖游轮,189,8.4,464474
海街日记,190,8.7,217720
魂断蓝桥,191,8.8,166312
头号玩家,192,8.7,836494
猜火车,193,8.5,308359
完美陌生人,194,8.5,337405
罗生门,195,8.8,177358
惊魂记,196,8.9,128406
功夫,197,8.4,476203
阿飞正传,198,8.5,299048
香水,199,8.5,365634
可可西里,200,8.7,172770
谍影重重2,201,8.6,221037
牯岭街少年杀人事件,202,8.8,151173
朗读者,203,8.5,335368
浪潮,204,8.7,174836
谍影重重,205,8.6,263488
疯狂的石头,206,8.4,457690
战争之王,207,8.6,227049
地球上的星星,208,8.9,122372
初恋这件小事,209,8.3,641094
青蛇,210,8.5,307007
终结者2：审判日,211,8.6,201049
奇迹男孩,212,8.6,328462
爱在午夜降临前,213,8.8,169458
源代码,214,8.4,524282
新龙门客栈,215,8.5,261305
步履不停,216,8.8,141833
小萝莉的猴神大叔,217,8.5,276262
无耻混蛋,218,8.5,297316
釜山行,219,8.4,574853
再次出发之纽约遇见你,220,8.5,248176
一次别离,221,8.7,169637
追随,222,8.9,109410
新世界,223,8.7,153930
血钻,224,8.6,199079
彗星来的那一夜,225,8.5,280274
2001太空漫游,226,8.7,151681
城市之光,227,9.3,65978
东京物语,228,9.2,73719
绿里奇迹,229,8.7,147947
撞车,230,8.6,220716
梦之安魂曲,231,8.7,145868
疯狂的麦克斯4：狂暴之路,232,8.6,300612
聚焦,233,8.8,174309
E.T. 外星人,234,8.6,213362
黑鹰坠落,235,8.6,171523
这个男人来自地球,236,8.5,246856
末路狂花,237,8.7,139208
遗愿清单,238,8.6,194188
发条橙,239,8.5,239815
变脸,240,8.4,274690
国王的演讲,241,8.4,439270
我爱你,242,9.0,85739
勇闯夺命岛,243,8.6,183676
千钧一发,244,8.7,133117
哈利·波特与密室,245,8.4,284827
哈利·波特与阿兹卡班的囚徒,246,8.5,265573
黄金三镖客,247,9.1,71779
非常嫌疑犯,248,8.6,164996
驴得水,249,8.3,510256
秒速5厘米,250,8.3,417398
